"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
8,1;15;0,85;2;0;1140;1;0
9;41;6;4;1;2167;1;0
8,5;41;3,8;4;1;1313;1;1
8,8;71;4;5;0;3647;1;0
8,7;44;7;5;0;998;1;1
9,4;47;6;5;0;107;1;0
9;70;7;5;0;139;1;0
9,1;59;4,8;5;0;800;1;1
8,2;29;6;5;1;1156;1;0
8,3;44;3,5;4;0;2075;1;0
8,9;50;3,5;5;0;564;1;0
8,4;87;3,1;5;0;3086;1;0
8,3;25;2,9;4;0;2814;1;0
8,9;79;4,1;5;1;831;1;0
8,9;61;3;5;0;2149;1;0
8;28;2,8;3;0;2247;1;0
8,5;32;2,8;4;0;1700;1;0
8,8;28;4,5;3;1;504;1;0
8,7;75;3,7;5;0;881;1;0
8,6;60;9;5;0;593;1;0
9;98;5;5;0;869;1;0
8,4;44;6;4;0;572;1;0
8,4;33;7;4;0;132;1;0
8,5;41;4,8;5;0;1261;1;0
9,2;83;6;5;1;807;1;0
8,6;72;3,1;5;0;2335;1;0
8,8;45;4,1;4;0;850;1;0
8,3;25;7;3;0;232;1;0
8,9;89;8;5;0;640;1;0
8,5;25;8;4;0;651;1;0
9,4;60;4,3;4;0;18;1;0
8,8;20;8;4;0;196;1;0
8,7;89;5;5;0;440;1;0
9;22;6;4;0;514;1;0
9,3;66;3,7;5;0;1731;1;1
8,6;20;5;5;0;1263;1;0
7,9;22;5;3;0;1703;1;1
8,1;29;6;4;1;507;1;0
8,5;33;6;4;0;2459;1;1
8,6;82;7;5;0;825;1;0
8,4;58;4;5;0;932;1;0
8,5;34;4,5;4;0;1676;1;0
8,3;21;6;4;0;1931;1;1
9,1;91;4,5;5;0;704;1;0
8,9;32;5;4;0;1390;1;0
8,1;28;4,2;3;0;5000;1;0
8,8;44;5;5;0;1209;1;0
9,1;66;5;5;0;2356;1;0
8,2;19;7;4;0;2032;1;0
8,9;58;8;5;0;1638;1;0
8,7;57;4,3;5;0;341;1;0
8,8;50;6;4;0;546;1;0
8,6;41;4;4;0;1642;1;0
8,5;13;14;4;0;861;1;0
8,6;74;3,5;4;0;996;1;0
7,9;18;4;4;0;1721;1;0
9,2;54;6;4;0;524;1;0
8,9;83;4;5;0;595;1;0
8,5;25;1,4;4;0;2240;1;0
9,1;23;2,6;3;0;86;1;0
8,3;55;6;4;0;294;1;0
8,2;36;7;3;0;306;1;0
8,9;26;5;4;0;838;1;0
8,9;27;5;4;0;2690;1;0
8,1;27;4,5;4;0;1241;0;0
7,9;15;5;2;1;814;1;0
8,9;28;5;4;0;82;1;0
8,4;51;7;5;0;662;1;0
7,5;23;5;4;0;302;1;0
8,8;58;7;5;0;1244;1;0
8,4;33;4,5;5;0;348;1;1
8,9;66;6;5;1;260;1;0
8,8;68;6;5;0;443;1;0
8,3;50;7;4;0;200;1;0
9,2;55;1,6;4;0;869;1;0
8,6;58;7;5;0;222;1;0
8,3;31;11;4;0;812;1;0
9,1;83;8;5;0;595;1;0
9,1;107;4,8;5;0;607;1;0
8,5;33;6;4;0;987;1;0
