"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
At Smile House
";8,1;15;0,85;2;0;1140;1;0
"
Novotel Bangkok Sukhumvit 20 - SHA Certified
";9;41;6;4;1;2167;1;0
"
Novotel Bangkok Platinum Pratunam - SHA Certified
";8,5;41;3,8;4;1;1313;1;1
"
lebua at State Tower (The World’s First Vertical Destination)
";8,8;71;4;5;0;3647;1;0
"
Bangkok Marriott Marquis Queen’s Park
";8,7;44;7;5;0;998;1;1
"
Carlton Hotel Bangkok Sukhumvit
";9,4;47;6;5;0;107;1;0
"
Oakwood Suites Bangkok - SHA Certified
";9;70;7;5;0;139;1;0
"
Hotel Indigo Bangkok Wireless Road
";9,1;59;4,8;5;0;800;1;1
"
The Continent Hotel Bangkok by Compass Hospitality
";8,2;29;6;5;1;1156;1;0
"
Novotel Bangkok on Siam Square
";8,3;44;3,5;4;0;2075;1;0
"
Pullman Bangkok King Power
";8,9;50;3,5;5;0;564;1;0
"
Millennium Hilton Bangkok
";8,4;87;3,1;5;0;3086;1;0
"
Evergreen Place Siam by UHG
";8,3;25;2,9;4;0;2814;1;0
"
Siam Kempinski Hotel Bangkok
";9,2;272;3,3;5;0;822;1;0
"
InterContinental Bangkok
";8,9;79;4,1;5;1;831;1;0
"
Pathumwan Princess Hotel
";8,9;61;3;5;0;2149;1;0
"
ibis Bangkok Siam
";8;28;2,8;3;0;2247;1;0
"
Mercure Bangkok Siam
";8,5;32;2,8;4;0;1700;1;0
"
Holiday Inn Express Bangkok Sathorn
";8,8;28;4,5;3;1;504;1;0
"
Centara Grand At Centralworld
";8,7;75;3,7;5;0;881;1;0
"
Centara Grand at Central Plaza Ladprao Bangkok
";8,6;60;9;5;0;593;1;0
"
SO/ BANGKOK
";9;98;5;5;0;869;1;0
"
Holiday Inn Bangkok Sukhumvit
";8,4;44;6;4;0;572;1;0
"
Mercure Bangkok Sukhumvit 24
";8,4;33;7;4;0;132;1;0
"
Grande Centre Point Hotel Ploenchit
";8,5;41;4,8;5;0;1261;1;0
"
Sheraton Grande Sukhumvit, A Luxury Collection Hotel
";9,2;83;6;5;1;807;1;0
"
Asia Airport Hotel
";7,9;24;26;4;0;968;1;0
"
JW Marriott Hotel Bangkok
";8,9;114;5;5;0;601;1;0
"
Royal Orchid Sheraton Hotel and Towers
";8,6;72;3,1;5;0;2335;1;0
"
Holiday Inn Bangkok
";8,8;45;4,1;4;0;850;1;0
"
ibis Bangkok Sukhumvit 24
";8,3;25;7;3;0;232;1;0
"
Hotel Nikko Bangkok
";8,9;89;8;5;0;640;1;0
"
The Residence on Thonglor by UHG
";8,5;25;8;4;0;651;1;0
"
Sindhorn Midtown Hotel Bangkok
";9,4;60;4,3;4;0;18;1;0
"
Hotel Verve
";8,8;20;8;4;0;196;1;0
